Surface reelle bati,Nombre pieces principales,Type local,Surface terrain,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
157.0,5.0,Maison,164.0,0,"564000,00",29.0,RUE,DU GRAND BUT LOMME,59160.0,LILLE,3592.356687898089,"29 RUE DU GRAND BUT LOMME, 59160 LILLE",50.6461458,2.9745716
132.0,4.0,Maison,81.0,0,"590000,00",25.0,RUE,ALEXANDRE LELEUX,59800.0,LILLE,4469.69696969697,"25 RUE ALEXANDRE LELEUX, 59800 LILLE",50.6318542,3.0570005
118.0,5.0,Maison,75.0,0,"68827,50",25.0,RUE,JULES GUESDE,59000.0,LILLE,583.2838983050848,"25 RUE JULES GUESDE, 59000 LILLE",50.6087793,3.0640528
118.0,5.0,Maison,75.0,0,"68827,50",25.0,RUE,JULES GUESDE,59000.0,LILLE,583.2838983050848,"25 RUE JULES GUESDE, 59000 LILLE",50.6087793,3.0640528
86.0,5.0,Maison,314.0,0,"162000,00",167.0,AV,ARTHUR NOTEBART,59160.0,LILLE,1883.7209302325582,"167 AV ARTHUR NOTEBART, 59160 LILLE",50.6341841,3.0099998
118.0,6.0,Maison,151.0,0,"105000,00",319.0,AV,DE DUNKERQUE LOMME,59160.0,LILLE,889.8305084745763,"319 AV DE DUNKERQUE LOMME, 59160 LILLE",50.6398528,3.0191882
170.0,6.0,Maison,195.0,0,"520000,00",30.0,RUE,COLBERT,59800.0,LILLE,3058.823529411765,"30 RUE COLBERT, 59800 LILLE",50.6278911,3.0474554
80.0,5.0,Maison,297.0,0,"250000,00",23.0,RUE,DE MADAGASCAR,59800.0,LILLE,3125.0,"23 RUE DE MADAGASCAR, 59800 LILLE",50.6324537,3.1005668
56.0,4.0,Maison,118.0,0,"266070,00",72.0,RUE,KLEBER HELLEMMES,59260.0,LILLE,4751.25,"72 RUE KLEBER HELLEMMES, 59260 LILLE",50.6276337,3.1140973
80.0,5.0,Maison,169.0,0,"283000,00",44.0,RUE,DE CRONSTADT,59000.0,LILLE,3537.5,"44 RUE DE CRONSTADT, 59000 LILLE",50.6151509,3.0291443
100.0,6.0,Maison,132.0,0,"248195,00",8.0,RUE,LOUIS CHRISTIAENS,59800.0,LILLE,2481.95,"8 RUE LOUIS CHRISTIAENS, 59800 LILLE",50.6337455,3.0964525
94.0,6.0,Maison,108.0,0,"158500,00",69.0,RUE,PAUL KIMPE,59260.0,LILLE,1686.1702127659576,"69 RUE PAUL KIMPE, 59260 LILLE",50.6194881,3.1004066
74.0,4.0,Maison,72.0,0,"179000,00",15.0,RUE,MAURICE BERTEAUX,59260.0,LILLE,2418.9189189189187,"15 RUE MAURICE BERTEAUX, 59260 LILLE",50.6231533,3.0992809
52.0,3.0,Maison,173.0,0,"284191,00",68.0,RUE,ANNE DELAVAUX,59160.0,LILLE,5465.211538461538,"68 RUE ANNE DELAVAUX, 59160 LILLE",50.6442811,2.9932737
62.0,3.0,Maison,115.0,0,"212500,00",40.0,AV,DE LA REPUBLIQUE LOMME,59160.0,LILLE,3427.4193548387098,"40 AV DE LA REPUBLIQUE LOMME, 59160 LILLE",50.6403334,3.0160629
80.0,3.0,Maison,150.0,0,"300000,00",33.0,RUE,ALFRED DE MUSSET,59000.0,LILLE,3750.0,"33 RUE ALFRED DE MUSSET, 59000 LILLE",50.5974835,3.0945595
72.0,4.0,Maison,133.0,0,"232500,00",8.0,RUE,FERRER,59260.0,LILLE,3229.1666666666665,"8 RUE FERRER, 59260 LILLE",50.6145152,3.1127156
56.0,4.0,Maison,117.0,0,"252400,00",36.0,RUE,KLEBER HELLEMMES,59260.0,LILLE,4507.142857142857,"36 RUE KLEBER HELLEMMES, 59260 LILLE",50.6268442,3.1135946
80.0,5.0,Maison,165.0,0,"190000,00",21.0,RUE,GREUZE,59800.0,LILLE,2375.0,"21 RUE GREUZE, 59800 LILLE",50.639453,3.0946269
106.0,6.0,Maison,92.0,0,"379200,00",71.0,RUE,TURGOT,59000.0,LILLE,3577.3584905660377,"71 RUE TURGOT, 59000 LILLE",50.6358463,3.0221357
209.0,10.0,Maison,200.0,0,"628000,00",19.0,RUE,LESTIBOUDOIS,59800.0,LILLE,3004.784688995215,"19 RUE LESTIBOUDOIS, 59800 LILLE",50.6303012,3.0387585
90.0,5.0,Maison,152.0,0,"243700,00",9.0,RUE,CHARLES GIDE,59260.0,LILLE,2707.777777777778,"9 RUE CHARLES GIDE, 59260 LILLE",50.6214504,3.1207296
115.0,6.0,Maison,195.0,0,"165000,00",15.0,RUE,AUGEREAU,59000.0,LILLE,1434.7826086956522,"15 RUE AUGEREAU, 59000 LILLE",50.6184221,3.0280866
75.0,5.0,Maison,147.0,0,"182000,00",62.0,RUE,GARIBALDI,59000.0,LILLE,2426.6666666666665,"62 RUE GARIBALDI, 59000 LILLE",50.6114314,3.0637849
63.0,4.0,Maison,124.0,0,"187000,00",42.0,RUE,EDOUARD VAILLANT,59800.0,LILLE,2968.253968253968,"42 RUE EDOUARD VAILLANT, 59800 LILLE",50.6363451,3.0958437
45.0,2.0,Maison,117.0,0,"92830,00",44.0,RUE,DE LA PREVOYANCE,59000.0,LILLE,2062.8888888888887,"44 RUE DE LA PREVOYANCE, 59000 LILLE",50.6132863,3.053818
83.0,5.0,Maison,51.0,0,"214950,00",21.0,RUE,DES SECOURISTES,59000.0,LILLE,2589.759036144578,"21 RUE DES SECOURISTES, 59000 LILLE",50.6125161,3.0453853
49.0,3.0,Maison,50.0,0,"159350,00",71.0,RUE,SAINT DRUON,59800.0,LILLE,3252.0408163265306,"71 RUE SAINT DRUON, 59800 LILLE",50.6437741,3.0913556
90.0,4.0,Maison,235.0,0,"255900,00",107.0,RUE,DORDIN,59260.0,LILLE,2843.3333333333335,"107 RUE DORDIN, 59260 LILLE",50.6275488,3.0992265
75.0,3.0,Maison,112.0,0,"283000,00",4.0,RUE,DES VICAIRES,59800.0,LILLE,3773.3333333333335,"4 RUE DES VICAIRES, 59800 LILLE",50.6450712,3.0854077
93.0,6.0,Maison,152.0,0,"268800,00",29.0,RUE,DENIS PAPIN LOMME,59160.0,LILLE,2890.3225806451615,"29 RUE DENIS PAPIN LOMME, 59160 LILLE",50.6363263,3.0126171
96.0,4.0,Maison,133.0,0,"210100,00",82.0,RUE,TESTELIN,59260.0,LILLE,2188.5416666666665,"82 RUE TESTELIN, 59260 LILLE",50.6278228,3.1150254
76.0,4.0,Maison,109.0,0,"210000,00",680.0,AV,DE DUNKERQUE LOMME,59160.0,LILLE,2763.157894736842,"680 AV DE DUNKERQUE LOMME, 59160 LILLE",50.6471301,3.0020957
112.0,4.0,Maison,120.0,0,"265400,00",41.0,RUE,WINSTON CHURCHILL LOMME,59160.0,LILLE,2369.6428571428573,"41 RUE WINSTON CHURCHILL LOMME, 59160 LILLE",50.6314618,3.0187861
128.0,6.0,Maison,167.0,0,"435000,00",9.0,AV,DES LILAS,59800.0,LILLE,3398.4375,"9 AV DES LILAS, 59800 LILLE",50.6391003,3.0873538
135.0,7.0,Maison,627.0,0,"700000,00",16.0,RUE,ALFRED DE MUSSET,59000.0,LILLE,5185.185185185185,"16 RUE ALFRED DE MUSSET, 59000 LILLE",50.6251045,3.032481
98.0,5.0,Maison,100.0,0,"170000,00",7.0,RUE,LAMARTINE,59000.0,LILLE,1734.6938775510205,"7 RUE LAMARTINE, 59000 LILLE",50.6221003,3.0641533
257.0,3.0,Maison,254.0,0,"563000,00",70.0,RUE,DU DOCTEUR JENNER,59800.0,LILLE,2190.661478599222,"70 RUE DU DOCTEUR JENNER, 59800 LILLE",50.6387001,3.0907584
72.0,4.0,Maison,178.0,0,"242750,00",9.0,RUE,ANNE DELAVAUX,59160.0,LILLE,3371.527777777778,"9 RUE ANNE DELAVAUX, 59160 LILLE",50.6456089,2.9926753
84.0,5.0,Maison,209.0,0,"170000,00",40.0,RUE,PROSPER FRANCK,59160.0,LILLE,2023.8095238095239,"40 RUE PROSPER FRANCK, 59160 LILLE",50.6462001,3.0007025
76.0,4.0,Maison,291.0,0,"318000,00",16.0,RUE,DU MAIRE BECQUART,59160.0,LILLE,4184.210526315789,"16 RUE DU MAIRE BECQUART, 59160 LILLE",50.6474134,2.9984037
71.0,4.0,Maison,205.0,0,"230000,00",15.0,RUE,DESTAILLEURS,59000.0,LILLE,3239.43661971831,"15 RUE DESTAILLEURS, 59000 LILLE",50.6167676,3.0273636
78.0,3.0,Maison,187.0,0,"137000,00",13.0,RUE,ADOLPHE DEFRENNE LOMME,59160.0,LILLE,1756.4102564102564,"13 RUE ADOLPHE DEFRENNE LOMME, 59160 LILLE",50.646846,2.9867931
75.0,4.0,Maison,114.0,0,"147500,00",21.0,RUE,STEPHENSON,59800.0,LILLE,1966.6666666666667,"21 RUE STEPHENSON, 59800 LILLE",50.6265166,3.089553
100.0,4.0,Maison,175.0,0,"315250,00",16.0,RUE,LE VERRIER,59800.0,LILLE,3152.5,"16 RUE LE VERRIER, 59800 LILLE",50.646171,3.0921939
80.0,5.0,Maison,111.0,0,"240000,00",15.0,RUE,COUSTOU,59800.0,LILLE,3000.0,"15 RUE COUSTOU, 59800 LILLE",50.6306222,3.0983083
72.0,4.0,Maison,170.0,0,"281400,00",29.0,RUE,LAPLACE,59800.0,LILLE,3908.3333333333335,"29 RUE LAPLACE, 59800 LILLE",50.6478484,3.0940357
118.0,4.0,Maison,218.0,0,"266000,00",132.0,RUE,D IENA,59000.0,LILLE,2254.237288135593,"132 RUE D IENA, 59000 LILLE",50.6210755,3.043567
77.0,4.0,Maison,115.0,0,"200000,00",8.0,RUE,VERLAINE,59000.0,LILLE,2597.4025974025976,"8 RUE VERLAINE, 59000 LILLE",50.6112036,3.0452504
92.0,4.0,Maison,140.0,0,"380000,00",4.0,PL,DU CARNAVAL,59000.0,LILLE,4130.434782608696,"4 PL DU CARNAVAL, 59000 LILLE",50.6221315,3.0651671
104.0,4.0,Maison,206.0,0,"385000,00",33.0,RUE,BRANLY,59800.0,LILLE,3701.923076923077,"33 RUE BRANLY, 59800 LILLE",50.6444082,3.089292
122.0,4.0,Maison,100.0,0,"298100,00",19.0,RUE,DU BOIS,59800.0,LILLE,2443.44262295082,"19 RUE DU BOIS, 59800 LILLE",50.6480086,3.0869744
102.0,4.0,Maison,118.0,0,"259000,00",50.0,RUE,DENIS DU PEAGE,59800.0,LILLE,2539.2156862745096,"50 RUE DENIS DU PEAGE, 59800 LILLE",50.6293237,3.0927403
54.0,3.0,Maison,80.0,0,"46810,30",27.0,RUE,D ARRAS,59000.0,LILLE,866.8574074074074,"27 RUE D ARRAS, 59000 LILLE",50.6234888,3.0679559
56.0,4.0,Maison,40.0,0,"128000,00",12.0,RUE,DES PAVILLONS,59800.0,LILLE,2285.714285714286,"12 RUE DES PAVILLONS, 59800 LILLE",50.6221125,3.0932706
105.0,4.0,Maison,123.0,0,"250000,00",91.0,RUE,RASPAIL,59800.0,LILLE,2380.9523809523807,"91 RUE RASPAIL, 59800 LILLE",50.6315832,3.1030546
115.0,4.0,Maison,183.0,0,"322000,00",43.0,RUE,ARISTOTE,59800.0,LILLE,2800.0,"43 RUE ARISTOTE, 59800 LILLE",50.6241826,3.0938382
121.0,6.0,Maison,156.0,0,"321500,00",158.0,RUE,ABELARD,59000.0,LILLE,2657.0247933884298,"158 RUE ABELARD, 59000 LILLE",50.6126782,3.0703793
63.0,4.0,Maison,101.0,0,"185000,00",20.0,RUE,DE LA CONVENTION,59800.0,LILLE,2936.5079365079364,"20 RUE DE LA CONVENTION, 59800 LILLE",50.6359183,3.0948421
70.0,4.0,Maison,44.0,0,"182500,00",12.0,RUE,D ENNETIERES,59000.0,LILLE,2607.1428571428573,"12 RUE D ENNETIERES, 59000 LILLE",50.6221826,3.0421307
105.0,5.0,Maison,82.0,0,"250000,00",43.0,RUE,DE LOOS,59000.0,LILLE,2380.9523809523807,"43 RUE DE LOOS, 59000 LILLE",50.6213378,3.0365743
94.0,5.0,Maison,76.0,0,"265000,00",5.0,RUE,DES GIRONDINS,59800.0,LILLE,2819.148936170213,"5 RUE DES GIRONDINS, 59800 LILLE",50.6348096,3.0836673
120.0,6.0,Maison,229.0,0,"640500,00",15.0,AV,EMILE ZOLA,59800.0,LILLE,5337.5,"15 AV EMILE ZOLA, 59800 LILLE",50.6493475,3.0860654
76.0,4.0,Maison,109.0,0,"165100,00",9002.0,RUE,FRANCISCO FERRER,59800.0,LILLE,2172.3684210526317,"9002 RUE FRANCISCO FERRER, 59800 LILLE",50.6293235,3.0884277
85.0,5.0,Maison,277.0,0,"290000,00",2.0,RUE,CHARLES SAINT VENANT LOMME,59160.0,LILLE,3411.764705882353,"2 RUE CHARLES SAINT VENANT LOMME, 59160 LILLE",50.6363228,3.0086246
75.0,4.0,Maison,253.0,0,"315000,00",7.0,RUE,CONDORCET LOMME,59160.0,LILLE,4200.0,"7 RUE CONDORCET LOMME, 59160 LILLE",50.6325643,3.0094848
64.0,3.0,Maison,92.0,0,"245000,00",187.0,RUE,JEAN JAURES LOMME,59160.0,LILLE,3828.125,"187 RUE JEAN JAURES LOMME, 59160 LILLE",50.6407722,3.014654
129.0,6.0,Maison,150.0,0,"161500,00",6.0,RUE,PORRET,59800.0,LILLE,1251.937984496124,"6 RUE PORRET, 59800 LILLE",50.630465,3.09022
117.0,7.0,Maison,91.0,0,"182500,00",9.0,RUE,DU CHEMIN DE FER,59800.0,LILLE,1559.8290598290598,"9 RUE DU CHEMIN DE FER, 59800 LILLE",50.6359855,3.0861688
70.0,4.0,Maison,289.0,0,"80000,00",16.0,RUE,DES MONTAGNARDS,59800.0,LILLE,1142.857142857143,"16 RUE DES MONTAGNARDS, 59800 LILLE",50.6348658,3.0976806
99.0,4.0,Maison,157.0,0,"245000,00",54.0,RUE,JULES GUESDE LOMME,59160.0,LILLE,2474.747474747475,"54 RUE JULES GUESDE LOMME, 59160 LILLE",50.6359051,3.0053208
87.0,5.0,Maison,131.0,0,"230000,00",61.0,RUE,DELANNOY,59160.0,LILLE,2643.67816091954,"61 RUE DELANNOY, 59160 LILLE",50.6331929,3.0087148
78.0,5.0,Maison,78.0,0,"180000,00",24.0,RUE,EDOUARD DOYENNETTE,59000.0,LILLE,2307.6923076923076,"24 RUE EDOUARD DOYENNETTE, 59000 LILLE",50.605972,3.0571999
88.0,4.0,Maison,166.0,0,"325000,00",2.0,RUE,DU CLOS DU MOULIN,59160.0,LILLE,3693.181818181818,"2 RUE DU CLOS DU MOULIN, 59160 LILLE",50.6451283,2.9778464
97.0,5.0,Maison,134.0,0,"221000,00",9008.0,RUE,DU FORT DEBOUT,59160.0,LILLE,2278.3505154639174,"9008 RUE DU FORT DEBOUT, 59160 LILLE",50.6472814,3.0009463
216.0,7.0,Maison,187.0,0,"709500,00",5.0,RUE,BOURIGNON,59000.0,LILLE,3284.722222222222,"5 RUE BOURIGNON, 59000 LILLE",50.6245378,3.05656
132.0,4.0,Maison,222.0,0,"635000,00",68.0,RUE,HIPPOLYTE LEFEBVRE,59800.0,LILLE,4810.606060606061,"68 RUE HIPPOLYTE LEFEBVRE, 59800 LILLE",50.645225,3.0901204
74.0,4.0,Maison,163.0,0,"175000,00",22.0,RUE,DENIS CORDONNIER HELLEMMES,59260.0,LILLE,2364.864864864865,"22 RUE DENIS CORDONNIER HELLEMMES, 59260 LILLE",50.6285729,3.1166917
76.0,3.0,Maison,100.0,0,"194500,00",33.0,RUE,LORENT LESCORNEZ,59260.0,LILLE,2559.2105263157896,"33 RUE LORENT LESCORNEZ, 59260 LILLE",50.6282024,3.1024471
80.0,4.0,Maison,185.0,0,"180000,00",243.0,RUE,DES BOIS BLANCS,59000.0,LILLE,2250.0,"243 RUE DES BOIS BLANCS, 59000 LILLE",50.6305129,3.0247965
89.0,4.0,Maison,196.0,0,"100000,00",14.0,RUE,DES MUGUETS,59000.0,LILLE,1123.5955056179776,"14 RUE DES MUGUETS, 59000 LILLE",50.6137292,3.0429437
69.0,2.0,Maison,131.0,0,"115000,00",129.0,RUE,FILBERTVILLE,59000.0,LILLE,1666.6666666666667,"129 RUE FILBERTVILLE, 59000 LILLE",50.6107332,3.0680312
113.0,6.0,Maison,436.0,0,"295650,00",30.0,RUE,RENE BODELE,59160.0,LILLE,2616.3716814159293,"30 RUE RENE BODELE, 59160 LILLE",50.6410502,2.98931
80.0,4.0,Maison,148.0,0,"167000,00",117.0,RUE,ANATOLE FRANCE LOMME,59160.0,LILLE,2087.5,"117 RUE ANATOLE FRANCE LOMME, 59160 LILLE",50.6353841,3.0111881
190.0,6.0,Maison,128.0,0,"779710,00",26.0,PL,CORMONTAIGNE,59000.0,LILLE,4103.736842105263,"26 PL CORMONTAIGNE, 59000 LILLE",50.6262842,3.0397415
126.0,3.0,Maison,76.0,0,"279650,00",132.0,RUE,ANATOLE FRANCE LOMME,59160.0,LILLE,2219.4444444444443,"132 RUE ANATOLE FRANCE LOMME, 59160 LILLE",50.635307,3.0126663
75.0,2.0,Maison,368.0,0,"187000,00",28.0,RUE,BERTHOLET,59160.0,LILLE,2493.3333333333335,"28 RUE BERTHOLET, 59160 LILLE",50.6272311,3.0066726
